id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,calculated_host_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,has_availability,availability_30,number_of_reviews,first_review,instant_bookable,reviews_per_month,review_scores_rating,review_scores_value,review_scores_checkin,review_scores_accuracy,review_scores_location,review_scores_cleanliness,review_scores_communication
292757,within a few hours,98%-100%,90%-96%,t,1,t,Dublin City,Entire home,Entire home/apt,>5,2.5 baths,4,5,"[""Oven"", ""Outdoor furniture"", ""Hangers"", ""Indoor fireplace"", ""Security cameras on property"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Host greets you"", ""Microwave"", ""High chair"", ""Shared patio or balcony"", ""Crib"", ""Private fenced garden or backyard"", ""Pack \u2019n play/Travel crib"", ""Ethernet connection"", ""Heating"", ""Dishes and silverware"", ""Baby monitor"", ""Dedicated workspace"", ""Hot water"", ""Free parking on premises"", ""Free washer \u2013 In building"", ""Free dryer \u2013 In building"", ""Children\u2019s books and toys"", ""Hair dryer"", ""Babysitter recommendations"", ""Iron"", ""Dishwasher"", ""Air conditioning"", ""Free street parking"", ""Bathtub"", ""Cable TV"", ""Shampoo"", ""Private pool"", ""55\"" HDTV with standard cable, Netflix, Amazon Prime Video, premium cable"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""BBQ grill"", ""Bed linens"", ""Children\u2019s dinnerware"", ""Wifi"", ""Smoke alarm"", ""Stove"", ""Baby safety gates"", ""Baby bath"", ""Extra pillows and blankets""]",121.0,2,t,0,362,3723,f,2.97,4.92,4.84,4.95,4.91,4.94,4.78,4.95
302554,within an hour,98%-100%,97%-100%,f,5-9,t,Dublin City,Entire rental unit,Entire home/apt,5,1 bath,1,3,"[""Oven"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""High chair"", ""Crib"", ""TV with standard cable"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Hot water"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Cable TV"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Wifi"", ""Smoke alarm"", ""Stove""]",200.0,2,t,4,59,3904,t,0.46,4.67,4.65,4.93,4.72,4.44,4.83,4.9
302634,within an hour,98%-100%,97%-100%,f,5-9,t,Dublin City,Entire rental unit,Entire home/apt,2,1 bath,1,2,"[""Oven"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""High chair"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Hot water"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Cable TV"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Wifi"", ""Smoke alarm"", ""Stove""]",101.0,2,t,0,105,3910,t,0.82,4.61,4.48,4.83,4.69,4.47,4.75,4.91
374792,within an hour,98%-100%,90%-96%,f,2-4,t,Dublin City,Entire rental unit,Entire home/apt,4,1 bath,1,3,"[""TV with standard cable"", ""Essentials"", ""Fire extinguisher"", ""Dryer"", ""Lockbox"", ""Pack \u2019n play/Travel crib"", ""Hangers"", ""Wifi"", ""Hair dryer"", ""Iron"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cable TV"", ""Hot water"", ""Free parking on premises"", ""Luggage dropoff allowed""]",212.0,3,t,0,35,3785,t,0.28,4.48,4.5,4.85,4.5,4.41,4.59,4.79
386860,unknown,unknown,unknown,f,1,t,Dublin City,Entire home,Entire home/apt,4,1 bath,2,2,"[""Oven"", ""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""High chair"", ""Crib"", ""TV with standard cable"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Backyard"", ""Hot water"", ""Free parking on premises"", ""Children\u2019s books and toys"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Bathtub"", ""Cable TV"", ""Shampoo"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Lockbox"", ""Wifi"", ""Smoke alarm"", ""Stove"", ""Paid parking on premises""]",164.0,1,t,0,92,3743,f,0.75,4.67,4.56,4.91,4.77,4.77,4.52,4.83
393631,unknown,unknown,unknown,f,1,t,Dublin City,Entire home,Entire home/apt,>5,2 baths,3,3,"[""TV with standard cable"", ""Essentials"", ""Fire extinguisher"", ""Cable TV"", ""Hangers"", ""Wifi"", ""Hair dryer"", ""Iron"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""First aid kit"", ""Kitchen"", ""Shampoo"", ""Free parking on premises""]",180.0,3,t,0,72,3749,f,0.59,4.87,4.65,4.93,4.88,4.24,4.86,4.91
419987,within an hour,98%-100%,97%-100%,f,5-9,t,Dublin City,Entire rental unit,Entire home/apt,>5,1 bath,1,3,"[""Oven"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""High chair"", ""Crib"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Hot water"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Cable TV"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Wifi"", ""Smoke alarm"", ""Stove""]",240.0,2,t,9,145,3671,t,1.2,4.8,4.61,4.92,4.8,4.5,4.85,4.94
424596,within a few hours,90%-97%,90%-96%,t,2-4,t,Dublin City,others,Entire home/apt,3,1 bath,1,1,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Dining table"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Laundromat nearby"", ""Cooking basics"", ""Breakfast"", ""Microwave"", ""Crib"", ""Paid dryer \u2013 In building"", ""Central heating"", ""HDTV with standard cable, DVD player"", ""Pack \u2019n play/Travel crib"", ""Dishes and silverware"", ""First aid kit"", ""Cleaning products"", ""Baking sheet"", ""Hot water"", ""Clothing storage: dresser and wardrobe"", ""Shower gel"", ""Paid street parking off premises"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Sound system"", ""Cable TV"", ""Paid washer \u2013 In building"", ""Shampoo"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Conditioner"", ""Body soap"", ""Bed linens"", ""Toaster"", ""Wifi"", ""Lockbox"", ""Smoke alarm"", ""Stove"", ""Wine glasses"", ""Portable fans""]",155.0,2,t,4,519,3800,f,4.16,4.84,4.75,4.89,4.92,4.62,4.91,4.88
426326,within an hour,98%-100%,90%-96%,f,2-4,t,Dublin City,Private room in home,Private room,3,2 shared baths,1,2,"[""Oven"", ""Fire extinguisher"", ""Hangers"", ""Indoor fireplace"", ""Carbon monoxide alarm"", ""Paid washer"", ""Kitchen"", ""Cooking basics"", ""Breakfast"", ""Microwave"", ""Patio or balcony"", ""TV with standard cable"", ""Ethernet connection"", ""Heating"", ""Dishes and silverware"", ""First aid kit"", ""Pocket wifi"", ""Backyard"", ""Hot water"", ""Free parking on premises"", ""Shower gel"", ""Lock on bedroom door"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Cable TV"", ""Shampoo"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Smoke alarm"", ""Stove""]",60.0,3,t,6,254,3793,f,2.04,4.61,4.61,4.83,4.78,4.56,4.49,4.84
427077,within a few hours,90%-97%,90%-96%,t,2-4,t,Dublin City,others,Entire home/apt,3,1 bath,1,2,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Dining table"", ""Hangers"", ""Paid parking garage off premises"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Laundromat nearby"", ""Cooking basics"", ""Breakfast"", ""Microwave"", ""Shared patio or balcony"", ""Crib"", ""Paid dryer \u2013 In building"", ""Central heating"", ""Pack \u2019n play/Travel crib"", ""Dishes and silverware"", ""First aid kit"", ""Cleaning products"", ""Hot water"", ""Clothing storage: dresser and closet"", ""Shower gel"", ""42\"" HDTV with premium cable, DVD player"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Paid washer \u2013 In building"", ""Shampoo"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Conditioner"", ""Body soap"", ""Bed linens"", ""Toaster"", ""Wifi"", ""Lockbox"", ""Smoke alarm"", ""Stove"", ""Wine glasses"", ""Portable fans""]",154.0,2,t,1,498,3847,f,3.95,4.84,4.69,4.86,4.88,4.6,4.91,4.85
427495,within an hour,98%-100%,90%-96%,f,2-4,t,Dublin City,Private room in home,Private room,2,2 shared baths,3,1,"[""Oven"", ""Fire extinguisher"", ""Hangers"", ""Indoor fireplace"", ""Carbon monoxide alarm"", ""Kitchen"", ""Breakfast"", ""Microwave"", ""Shared patio or balcony"", ""Central heating"", ""TV with standard cable"", ""Washer"", ""Dishes and silverware"", ""First aid kit"", ""Dedicated workspace"", ""Cleaning products"", ""Hot water"", ""Free parking on premises"", ""Shower gel"", ""Lock on bedroom door"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Air conditioning"", ""Free street parking"", ""Cable TV"", ""Shampoo"", ""Shared garden or backyard"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Smoke alarm"", ""Stove"", ""Extra pillows and blankets""]",60.0,3,t,3,176,3724,f,1.44,4.59,4.63,4.85,4.72,4.52,4.51,4.89
449556,within a few hours,98%-100%,70%-79%,f,1,t,Fingal,others,Private room,4,1 private bath,1,3,"[""Fire extinguisher"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Kitchen"", ""Microwave"", ""Heating"", ""Dishes and silverware"", ""Hot water"", ""Free parking on premises"", ""TV"", ""Lock on bedroom door"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Smoke alarm""]",155.0,1,t,11,271,3391,f,2.44,4.19,4.21,4.67,4.63,4.67,4.45,4.54
454183,within an hour,98%-100%,80%-89%,t,2-4,f,Dublin City,others,Entire home/apt,3,1 bath,1,2,"[""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Bathtub"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Wifi"", ""Smoke alarm"", ""Stove"", ""Extra pillows and blankets""]",132.0,3,t,1,93,1970,f,1.46,4.67,4.55,4.96,4.74,4.76,4.59,4.97
468082,within an hour,98%-100%,97%-100%,t,1,t,South Dublin,Private room in home,Private room,5,2 baths,2,3,"[""Hot water kettle"", ""Outdoor furniture"", ""Hangers"", ""Laundromat nearby"", ""Host greets you"", ""Private fenced garden or backyard"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""First aid kit"", ""Cleaning products"", ""Hot water"", ""Free parking on premises"", ""Shower gel"", ""TV"", ""Lock on bedroom door"", ""Hair dryer"", ""Iron"", ""Bathtub"", ""Shampoo"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Body soap"", ""Conditioner"", ""Bed linens"", ""Wifi"", ""Private patio or balcony"", ""Smoke alarm"", ""Room-darkening shades"", ""Outdoor dining area"", ""Wine glasses"", ""Extra pillows and blankets""]",70.0,1,t,4,296,3722,t,2.42,4.7,4.69,4.84,4.81,4.75,4.7,4.9
497136,within an hour,98%-100%,0%-69%,f,1,t,Dublin City,Private room in home,Private room,2,2 shared baths,1,1,"[""Oven"", ""Fire extinguisher"", ""Indoor fireplace"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Host greets you"", ""Breakfast"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""First aid kit"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Wifi"", ""Smoke alarm""]",139.0,1,t,2,113,3721,f,0.93,4.62,4.5,4.8,4.74,4.55,4.44,4.78
522667,within a few hours,90%-97%,90%-96%,t,2-4,t,Dublin City,others,Entire home/apt,3,1 bath,1,1,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Dining table"", ""Hangers"", ""Board games"", ""Paid parking garage off premises"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Laundromat nearby"", ""Cooking basics"", ""Breakfast"", ""Microwave"", ""Crib"", ""Paid dryer \u2013 In building"", ""Central heating"", ""Pack \u2019n play/Travel crib"", ""Dishes and silverware"", ""First aid kit"", ""Clothing storage: wardrobe and dresser"", ""Cleaning products"", ""Hot water"", ""Shower gel"", ""TV"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Sound system"", ""Paid washer \u2013 In building"", ""Shampoo"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Conditioner"", ""Body soap"", ""Bed linens"", ""Toaster"", ""Wifi"", ""Lockbox"", ""Smoke alarm"", ""Stove"", ""Wine glasses"", ""Portable fans""]",153.0,2,t,4,430,3792,f,3.46,4.81,4.69,4.9,4.91,4.65,4.96,4.89
526767,within an hour,98%-100%,97%-100%,t,1,t,Dublin City,others,Entire home/apt,3,1 bath,unknown,2,"[""Oven"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""TV with standard cable"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Elevator"", ""Hot water"", ""Shower gel"", ""Hair dryer"", ""Iron"", ""Cable TV"", ""Shampoo"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Smoke alarm"", ""Waterfront"", ""Stove"", ""Paid parking off premises"", ""Extra pillows and blankets""]",194.0,1,t,1,568,3721,f,4.65,4.9,4.77,4.96,4.94,4.93,4.92,4.98
587218,within a few hours,98%-100%,80%-89%,t,1,t,Dublin City,Private room in home,Private room,2,1.5 baths,1,1,"[""Oven"", ""Dryer"", ""Indoor fireplace"", ""Kitchen"", ""Cooking basics"", ""Breakfast"", ""Microwave"", ""TV with standard cable"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Backyard"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Cable TV"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Wifi""]",80.0,2,t,0,220,3708,f,1.81,4.98,4.94,4.99,4.97,4.76,4.96,4.99
592840,within an hour,98%-100%,97%-100%,t,1,t,South Dublin,Private room in home,Private room,1,1.5 baths,1,1,"[""Outdoor furniture"", ""Hangers"", ""Host greets you"", ""Private fenced garden or backyard"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""Hot water"", ""Free parking on premises"", ""Shower gel"", ""Children\u2019s books and toys"", ""TV"", ""Lock on bedroom door"", ""Hair dryer"", ""Iron"", ""Bathtub"", ""Shampoo"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Body soap"", ""Conditioner"", ""Bed linens"", ""Children\u2019s dinnerware"", ""Wifi"", ""Private patio or balcony"", ""Smoke alarm"", ""Room-darkening shades"", ""Extra pillows and blankets""]",55.0,1,t,4,42,3722,f,0.34,4.9,4.8,4.93,4.98,4.9,4.95,4.95
610233,unknown,unknown,unknown,f,1,t,Dublin City,Entire home,Entire home/apt,4,2.5 baths,2,2,"[""Oven"", ""Dryer"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""High chair"", ""Crib"", ""TV with standard cable"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Hot water"", ""Free parking on premises"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Cable TV"", ""Shampoo"", ""Coffee maker"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Wifi"", ""Stove""]",150.0,2,t,0,61,3734,f,0.5,4.82,4.7,4.89,4.89,4.97,4.66,4.89
637185,unknown,unknown,unknown,f,1,t,Dublin City,Entire rental unit,Entire home/apt,2,1 bath,1,1,"[""TV with standard cable"", ""Wifi"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Kitchen"", ""Elevator"", ""Host greets you"", ""Cable TV""]",119.0,7-33,t,0,158,3673,f,1.31,4.5,4.55,4.63,4.6,4.72,4.43,4.55
641880,unknown,unknown,unknown,f,1,t,Dublin City,Private room in rental unit,Private room,2,1 bath,1,1,"[""TV with standard cable"", ""Essentials"", ""Dryer"", ""Wifi"", ""Shampoo"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Kitchen"", ""Elevator"", ""Cable TV""]",85.0,2,t,0,46,3025,f,0.47,4.53,4.56,4.87,4.78,4.53,4.31,4.87
654589,within an hour,98%-100%,90%-96%,t,1,t,Dublin City,Entire condo,Entire home/apt,4,1 bath,2,3,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Dryer"", ""Dining table"", ""Hangers"", ""Long term stays allowed"", ""Kitchen"", ""Laundromat nearby"", ""Cooking basics"", ""Host greets you"", ""Window guards"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Elevator"", ""Cleaning products"", ""Hot water"", ""Clothing storage: dresser and closet"", ""Shower gel"", ""Hair dryer"", ""Single level home"", ""Dishwasher"", ""Freezer"", ""Shampoo"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Body soap"", ""Conditioner"", ""Bed linens"", ""Toaster"", ""Wifi"", ""Smoke alarm"", ""Stove"", ""Wine glasses"", ""Paid parking off premises"", ""Portable fans""]",356.0,3,t,6,538,3721,f,4.41,4.78,4.63,4.9,4.81,4.94,4.84,4.94
